id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
17113,ba8f07d2-f6d8-4af9-a820-786f8f49b26b,umb://document/ba8f07d2f6d84af9a820786f8f49b26b,Kursus materiale til Wellness massage uddannelse (1),media,true,true,2020-06-15 12:12:48,2020-06-15 12:25:25,16693,2,/find-dig-ikke-i-smerte/online-kurser-uddannelser/kursus-materiale-til-wellness-massage-uddannelse-1/,0,Kursus materiale til Wellness massage uddannelse,58,Nyhed,,"Med denne online uddannelse får du skriftligt materiale og video der lærer dig at udføre en professionel welness massage. Videoen starter med at lære dig forskellige massage teknikker, bl.a. hvordan du masserer hvis der er væskeophobning i kroppen. Du får vist og forklaret rigtig mange massage teknikker, og vi gennemgår hele kroppen på denne måde. Videoen indeholder en helkrops wellnes massage, hvor du kan læne dig tilbage og med rolig baggrundsmusik suge visdom og lærdom til dig på en behagelig måde. Du kan se videoen flere gange, ja lige så ofte du vil. Materialet må ikke videregives eller bruges til undervisning af andre end Mona Kyed.

Kursus materiale til Wellness massage uddannelse",,0,0,0,0,,,,0,"Find dig ikke i smerte MASSAGE, HEALING OG TERAPI VED MONA KYED",,,3500,/media/1950/wellness-online-uddannelsens-skriflige-matriale.pdf,,,"Wellness massage uddannelse,PDF",/media/1951/udenskygge.png,,75,,,,,,,2020
16694,ca8ddbf3-4908-42ca-a84b-8fe9acb627df,umb://document/ca8ddbf3490842caa84b8fe9acb627df,Wellness massage uddannelse ,media,true,true,2020-06-05 09:35:02,2020-06-15 15:50:11,16693,0,/find-dig-ikke-i-smerte/online-kurser-uddannelser/wellness-massage-uddannelse/,1,Wellness massage uddannelse ,59,Nyhed,"wellness2020, wellness2020.","Med denne online uddannelse får du skriftligt materiale og video der lærer dig at udføre en professionel welness massage. Videoen starter med at lære dig forskellige massage teknikker, bl.a. hvordan du masserer hvis der er væskeophobning i kroppen. Du får vist og forklaret rigtig mange massage teknikker, og vi gennemgår hele kroppen på denne måde. Videoen indeholder en helkrops wellnes massage, hvor du kan læne dig tilbage og med rolig baggrundsmusik suge visdom og lærdom til dig på en behagelig måde. Du kan se videoen flere gange, ja lige så ofte du vil. Materialet må ikke videregives eller bruges til undervisning af andre end Mona Kyed.

Du skal anvende den kode som står angivet i det skriftlige materiale du har modtaget i forbindelse med købet af online uddannelsen. ",,0,0,0,158,,,,0,"Find dig ikke i smerte MASSAGE, HEALING OG TERAPI VED MONA KYED",http://www.finddigikkeismertekurser.dk/,,,,,,"Uddannelse,Wellness massage,Massage,Onlinekursus",/media/1906/skaermbillede-2020-06-07-kl-110241.png,,264,,,,,,https://drive.google.com/file/d/1Ypi--pRLyjSjQmsp1SDYWDLvoYJprPBJ/view?usp=sharing,2020
