id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
111981,3d4a029b-79d1-49e3-af81-df251f0ebc55,umb://document/3d4a029b79d149e3af81df251f0ebc55,Nicolaj Lange - Halvvejs ,media,true,true,2025-08-23 10:16:37,2025-09-09 12:18:23,31231,2,/langes-entertainment-aps/standup-show/nicolaj-lange-halvvejs/,0,Nicolaj Lange - Halvvejs ,58,PREMIERE,,"Den muligvis aller længste stand-upper i landet, aalborgensiske Nicolaj Lange, er klar med sit 10 års jubilæumsshow, der bliver en underfundig, eftertænksom og latterkrampefrembringende hyldest til livet midtvejs – i livet. På 10 år har den snart 50-årige Nicolaj Lange markeret sig som en af de travleste stand-up’ere på den danske scene, og 10-årsjubilæet er da også den fjerde i rækken af Nicolaj Lange one man-shows. Den ambitiøse tour-plan for showet Halvvejs gæster scener rundt om i hele landet, og det bliver et dybt krads i glansbilledet af et helt almindeligt ualmindeligt hverdagsliv.
 
Halvvejs er et tempofyldt og i vanlig Nicolaj Lange-stil satirisk, skarpt og ærligt show, og trods de skavanker, der allerede (ifølge hans eget udsagn) er indtruffet i den lange nordjydes skrøbelige mandekrop, lover Nicolaj Lange publikum en times højhastighedsrejse fyldt med godbidder til både hjernen og lattermusklerne.
",,0,0,0,60,,,0,0,Langes Entertainment ApS,https://www.nicolajlange.dk/,,100,,50,,"Comedy,Stand-up,Nicolaj Lange,Halvvejs",/media/4954/lange_halvvejs_04-2024-some4.jpg,https://youtu.be/9SMySRe5De0?si=xmmWay-yXnmDKakr,73,https://customer-y2jwwmt8niw6h9rt.cloudflarestream.com/190ba6cda0dcd6ecd7447b3e0516db8a/downloads/default.mp4,190ba6cda0dcd6ecd7447b3e0516db8a,1780606627,ready,https://customer-y2jwwmt8niw6h9rt.cloudflarestream.com/190ba6cda0dcd6ecd7447b3e0516db8a/thumbnails/thumbnail.jpg,,2025
88595,8f5e1c23-47d9-4a3b-807d-d79ce4666d7a,umb://document/8f5e1c2347d94a3b807dd79ce4666d7a,Nicolaj Lange - Tættere På End Nogensinde,media,true,true,2023-08-29 18:41:23,2025-08-23 10:55:38,31231,1,/langes-entertainment-aps/standup-show/nicolaj-lange-taettere-paa-end-nogensinde/,1,Nicolaj Lange - Tættere På End Nogensinde,58,,,"Stream Nicolaj Langes Tættere På End Nogensinde - køb online
Denne gang kommer vi helt tæt på Nicolaj Lange. Den lange nordjyde har siden sidste show gennemgået en pandemi og endnu en skilsmisse. Derudover tager Nicolaj Lange fat i egen opvækst som skilsmissebarn samt opvæksten med en far med et massivt alkoholmisbrug. Der er masser af historier at dele, og det bliver langt fra kedeligt når Nicolaj Lange deler ud af sin, til tider, vanvittige livshistorie.
Showet leveres i vanlig Nicolaj Lange-stil i højt tempo, hvor der ikke er langt mellem punchlines.
Nicolaj Lange leverer her sit bedste stand-up show til dato.",,0,0,0,56,,Stream Nicolaj Lange Tættere På End Nogensinde - Køb eller lej,0,0,,,,50,,25,,"Nicolaj Lange,Comedy,Stand-up,Tættere på end nogensinde","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/4478/lange-plakat.jpeg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",https://www.youtube.com/watch?v=vywAX8dEjhI,73,https://customer-y2jwwmt8niw6h9rt.cloudflarestream.com/ff55b6342e5ddf2f35ca7d8501a74b92/downloads/default.mp4,ff55b6342e5ddf2f35ca7d8501a74b92,686914367,ready,https://customer-y2jwwmt8niw6h9rt.cloudflarestream.com/ff55b6342e5ddf2f35ca7d8501a74b92/thumbnails/thumbnail.jpg,,2023
31311,e3dcfcc3-a7f8-4c38-b046-3ce83e914878,umb://document/e3dcfcc3a7f84c38b0463ce83e914878,Nicolaj Lange - Større End Nogensinde,media,true,true,2021-02-01 18:18:59,2025-08-23 10:55:43,31231,0,/langes-entertainment-aps/standup-show/nicolaj-lange-stoerre-end-nogensinde/,2,Nicolaj Lange - Større End Nogensinde,58,,,"Stream Nicolaj Langes Større End Nogensinde - lej eller køb online
Nicolaj Lange er klar med sit 2 onemanshow som opfølgning på succes touren Mere skæg end nogensinde.

“Magasinet Appetize skrev bl.a. 
Publikum var i gear til det hele, og der var ikke lange pauser mellem både småfnisen og latterbrøl. For Nicolaj Lange skød sine fortællinger og punchlines afsted som en anden maskinpistol.”

Det nye show Større end nogensinde er også en times stand up, denne gang gør den store nordjyde sig tanker om hvornår man er voksen, og hvordan det er at være midt i fyrrene og alle livets spilleregler pludselig bliver kastet op i luften. Krænkelseskultur, kønsroller og ja selv madpyramiden bliver budt op til dans.",,0,0,0,50,,,0,0,Langes Entertainment ApS,https://www.nicolajlange.dk/,,50,,25,,"Comedy,Stand-up,Nicolaj Lange,Større End Nogensinde","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/2908/lange_a3-12-2019.jpeg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",https://www.youtube.com/watch?v=3NjacQ38sEs&feature=youtu.be,73,https://videodelivery.net/67bd56da6e4d3e980e4b76eef97fd6c7/downloads/default.mp4,67bd56da6e4d3e980e4b76eef97fd6c7,926293861,ready,https://videodelivery.net/67bd56da6e4d3e980e4b76eef97fd6c7/thumbnails/thumbnail.jpg,,2021
