id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
1912,52d214ff-d922-4217-ba4f-0d4f5200dd6b,umb://document/52d214ffd9224217ba4f0d4f5200dd6b,150 kg over bæltestedet,media,true,true,2019-07-23 17:15:18,2024-01-13 18:48:30,1911,0,/amin-jensen-entertainment/shows/150-kg-over-baeltestedet/,0,150 kg over bæltestedet,58,,,"<h2>Stream Amin Jensens ""150 kg over bæltestedet"" - lej eller køb online</h2>
Amin's forrygende show ”150kg over bæltestedet”. Gik du glip af Amin's anmelderroste show ”150 kg. over bæltestedet”, så har du nu ENDELIG chancen for at opleve Amin's første one man show fra foråret 1999. Med sin vanlige elegance formår Amin med sit skæve hjernevrid at vende dagligdags oplevelser på hovedet og sætte gang i såvel latter som eftertænksomhed. Intet er urørligt men (næsten) alt er sobert i dette show, som kommer langt omkring i emner som graviditet, børneopdragelse, pasfoto, symaskinekørekort og begravelser. Amin rammer plet, når han stiller sine helt uskyldige spørgsmål som: Hvorfor skal hospitalspatienter vækkes tidligt, når de alligevel ikke skal stå op, hvorfor hedder det chocktilbud, når man aldrig ser nogen gå i chok og hvorfor er det altid kun mødre, der kan forstå, hvad deres baby siger? Med Morten Wittrock ved klaveret får du bevis for Amins store musikalitet i sange som ”A ble C”, ""Fødselsdagssagen"" og ""Bøssesangen"". Glæd dig til 88 forrygende minutter med masser af humor, musik, sang og sjove parodier. Noder og tekster kan findes under sangbog",,0,0,0,88,,,0,0,,,,30,,30,,"Comedy,Stand-up,Amin Jensen","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/1239/dvd_150kg_over.jpg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",,73,https://videodelivery.net/df5968839ec93af475d722b28c742c58/downloads/default.mp4,df5968839ec93af475d722b28c742c58,977147619,ready,https://cloudflarestream.com/df5968839ec93af475d722b28c742c58/thumbnails/thumb_5_0.jpg,,1999
1914,737fcb54-4c4a-45e5-bdc9-f09bdedff6ec,umb://document/737fcb544c4a45e5bdc9f09bdedff6ec,Fyrre Fit & færdig,media,true,true,2019-07-23 18:36:39,2024-01-13 18:48:56,1911,1,/amin-jensen-entertainment/shows/fyrre-fit-faerdig/,1,"Fyrre, Fit & Færdig ",58,,,"<h2>Stream Amin Jensens Fyrre, Fit og Færdig- lej eller køb online</h2>
I 2010 fejrede komikeren Amin Jensen sin 40-års-fødselsdag med et helt nyt solo-show, hvor han vendte tilbage til der, hvor det hele begyndte: en mand og en mikrofon. Showet byder på stand-up, parodier, komik og musik, og Amin Jensen serverer det hele skarpt og præcist - og med den velkendte varme og selvironi. Køb hele showet her til download.",,0,0,0,100,,,0,0,,,,30,,30,,"Amin Jensen,Comedy,Stand-up","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/1258/dvd_fyrre_fitogfattig-1.jpg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",https://www.youtube.com/watch?v=R3BKFSmCbvw&list=PLMX9Jg2CQl-gHoMHdwPbOvyAfwZ6IrMWX,73,https://videodelivery.net/2feeb7dd083d9eb8e38fa92bb87cb4f6/downloads/default.mp4,2feeb7dd083d9eb8e38fa92bb87cb4f6,1238187353,ready,https://cloudflarestream.com/2feeb7dd083d9eb8e38fa92bb87cb4f6/thumbnails/thumb_5_0.jpg,,2010
1915,f4e0c7f5-0f86-4b00-9575-8a50ce8d4acc,umb://document/f4e0c7f50f864b0095758a50ce8d4acc,Showet STORT,media,true,true,2019-07-23 19:06:45,2024-01-20 00:11:19,1911,2,/amin-jensen-entertainment/shows/showet-stort/,2,Showet STORT ,58,,,"<h2>Stream Amin Jensens STORT - lej eller køb online</h2>
Oplev den populærer og musikalske tv-vært, stand-up komiker og entertainer i et forrygende comedyshows optaget i Cirkusbygningen. Nyd halvanden times hylende morsom underholdning i selskab med en af de dygtigste og mest populære komikere og entertainer herhjemme. Du kan downloade showet her til højre.",,0,0,0,95,,Stream Amin Jensens STORT - Køb eller lej online,0,0,,,,30,,30,,"Comedy,Stand-up,Amin Jensen","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/1261/dvd_stort.jpg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",https://vimeo.com/349859282,73,https://videodelivery.net/e3c82de4e0ed69df6ae400c4e13084d6/downloads/default.mp4,e3c82de4e0ed69df6ae400c4e13084d6,1177204016,ready,https://cloudflarestream.com/e3c82de4e0ed69df6ae400c4e13084d6/thumbnails/thumb_5_0.jpg,,2008
1929,e3c7801a-6e26-4f58-8f67-331ebbb89e31,umb://document/e3c7801a6e264f588f67331ebbb89e31,Hit med Amin - 10 års jubilæmsshow,media,true,true,2019-07-25 14:32:02,2024-01-13 18:50:24,1911,3,/amin-jensen-entertainment/shows/hit-med-amin-10-aars-jubilaemsshow/,3,Hit med Amin - 10 års jubilæmsshow,58,,,"<h2>Stream Hit med Amin - 10 års jubilæumsshow - lej eller køb online</h2>
Siden januar 2003 har Amin Jensen væltet det ene teater og koncerthus efter det andet. Mere end 35.000 danskere har moret sig over Amin og de tre musikere Jens Krøyer, Dan Rasmussen og Niels Ratzer i Amins forrygende jubilæumssshow ""HIT MED AMIN"" Nu har du chancen for at se eller gense det vildt sjove show, du kan downloade det til din computer eller tablet her til højre",,0,0,0,93,,,0,0,,,,30,,30,,"Comedy,Amin Jensen,Stand-up","{""focalPoint"":{""left"":0.5,""top"":0.5},""src"":""/media/1263/dvd_hit_med_amin.jpg"",""crops"":[{""alias"":""Wide"",""width"":1920,""height"":1080},{""alias"":""High"",""width"":650,""height"":920}]}",https://vimeo.com/349859229,73,https://videodelivery.net/d480b1a33b4d96472e7db0d57e0139b6/downloads/default.mp4,d480b1a33b4d96472e7db0d57e0139b6,1139494483,ready,https://cloudflarestream.com/d480b1a33b4d96472e7db0d57e0139b6/thumbnails/thumb_5_0.jpg,,2003
