id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
78546,72da92bb-45c4-480a-8c0c-999a6f04981a,umb://document/72da92bb45c4480a8c0c999a6f04981a,0d8132d39a274f24938c03f1ab3a9533,statsEntry,true,true,2023-02-25 15:38:38,2023-02-25 15:38:38,78111,3,,0,umb://document/18557172088b49019013ac25fe5d1234,
78482,3a5dd4be-2f9d-4de5-a0c0-774c120a3929,umb://document/3a5dd4be2f9d4de5a0c0774c120a3929,04031bba979540868f16f8b5f2e43048,statsEntry,true,true,2023-02-23 16:25:52,2023-02-23 16:25:52,78111,2,,0,umb://document/18557172088b49019013ac25fe5d1234,
78481,c85e6bca-fd4c-4dc2-8274-1c3f6171401c,umb://document/c85e6bcafd4c4dc282741c3f6171401c,db08169fd1504305a74b555705c484a4,statsEntry,true,true,2023-02-23 16:25:47,2023-02-23 16:25:47,78111,1,,0,umb://document/18557172088b49019013ac25fe5d1234,
78241,738333e7-d8a0-4bcc-8141-e6a88c340560,umb://document/738333e7d8a04bcc8141e6a88c340560,03bdc9d7cc094e02a386cb9468169e83,statsEntry,true,true,2023-02-16 12:20:46,2023-02-16 12:20:46,78111,0,,0,umb://document/18557172088b49019013ac25fe5d1234,
